time,open,high,low,close,Volume,Volume MA
1547967600,122.24,122.64,122.17,122.32,8900.30453,11643.555628499995
1547971200,122.31,122.61,122.1,122.47,8201.93674,11384.968726999996
1547974800,122.48,123.2,122,122.45,16117.33118,11625.906197499997
1547978400,122.43,122.56,122.09,122.4,9955.08466,11805.443669999997
1547982000,122.41,122.5,118.5,119.13,66583.36529,14722.811595999996
1547985600,119.13,119.3,115.68,117.52,69023.69865,17761.740444999996
1547989200,117.51,118.29,117,117.93,23486.46984,18259.722672499996
1547992800,117.93,118.1,117.5,117.79,17187.45199,17317.643896999994
1547996400,117.79,117.99,116.5,117,20016.10052,17573.437249999995
1548000000,117.01,117.77,115.89,117.1,27982.55676,18343.966983499995
1548003600,117.11,117.19,115.88,117.07,20831.18215,19115.388486999997
1548007200,117.14,117.18,116.4,116.7,11916.78162,19464.911199999995
1548010800,116.68,117,116.57,116.77,10052.09304,19661.845052499997
1548014400,116.78,117.87,116.65,117.58,24335.95759,20269.859834999996
1548018000,117.59,117.97,117.4,117.62,13776.88439,20521.633795499998
1548021600,117.61,117.87,117.29,117.59,9559.20429,20631.646193499997
1548025200,117.59,117.72,117.17,117.47,10883.9062,20788.483540499998
1548028800,117.56,117.82,117.05,117.24,14178.71785,20857.5353825
1548032400,117.24,117.43,116.91,117.26,9800.99776,20937.893484
1548036000,117.23,117.38,116.94,117.08,5915.35273,19935.268889
1548039600,117.07,117.14,116.41,116.59,9346.73597,19957.590460999996
1548043200,116.59,116.69,113.61,114.79,33927.04139,21243.845693499996
1548046800,114.79,115.14,114.57,115.07,14134.23792,21144.6910305
1548050400,115.08,116.42,115.06,115.9,21289.35702,21711.404648499996
1548054000,115.9,116.6,115.35,115.85,12067.25731,18985.5992495
1548057600,115.77,116.06,115.2,115.56,7536.57586,15911.24311
1548061200,115.56,117.99,115.51,116.63,24905.10417,15982.1748265
1548064800,116.52,116.85,116.08,116.4,10572.89843,15651.447148500001
1548068400,116.43,117.9,116.33,117.4,13567.19551,15329.001898000002
1548072000,117.4,117.7,116.43,116.75,10505.84569,14455.166344500001
1548075600,116.76,118.5,116.72,116.93,15498.82847,14188.5486605
1548079200,116.95,117.13,115.71,116.08,16963.35729,14440.877444000002
1548082800,116.04,116.62,115.54,116.43,14247.51594,14650.648589
1548086400,116.43,116.94,116.27,116.64,10167.30494,13942.2159565
1548090000,116.64,116.77,116.33,116.39,3545.83364,13430.663419
1548093600,116.38,116.46,115.78,116.29,7575.07697,13331.457053000002
1548097200,116.26,116.7,116.24,116.31,4312.9587,13002.909678000002
1548100800,116.28,116.32,115.92,116.12,3067.90458,12447.369014500002
1548104400,116.12,116.32,114.57,114.9,14579.65511,12686.301882000002
1548108000,114.93,115.73,114.19,115.54,17435.62019,13262.315255
1548111600,115.53,116.14,115.49,115.63,8491.56119,13219.556516
1548115200,115.62,116.55,115.33,116.17,17698.69943,12408.139418
1548118800,116.18,117.05,116.18,116.67,13027.3039,12352.792717
1548122400,116.67,117.29,116.3,116.31,10876.0314,11832.126436000002
1548126000,116.31,116.75,115.75,115.99,13287.77818,11893.152479500002
1548129600,115.99,116.57,115.73,116.19,9553.17557,11993.982465000001
1548133200,116.19,116.27,115.93,115.98,5169.6261,11007.2085615
1548136800,115.98,116.07,115.17,115.42,8707.95624,10913.961452
1548140400,115.42,115.85,115.06,115.67,6150.85052,10543.144202500001
1548144000,115.65,116.28,115.53,116.27,5811.093,10308.406568000002
1548147600,116.26,116.27,115.61,115.66,6684.83326,9867.706807500002
1548151200,115.69,116.36,114.56,115.53,14810.62687,9760.070286500002
1548154800,115.51,115.9,111.39,114.7,59378.77093,12016.633036000001
1548158400,114.68,117.05,114.33,116.26,47521.94234,13884.364905999999
1548162000,116.27,116.78,115.4,116.29,18894.96312,14651.821379999998
1548165600,116.26,118.17,116.11,117.6,28620.94745,15704.114903999996
1548169200,117.63,118.64,117.22,118.08,15774.58092,16277.196014999994
1548172800,118.09,118.75,117.32,117.75,12619.06953,16754.754262499995
1548176400,117.76,118.64,117.4,118.31,10992.70181,16575.406597499994
